unique_id,document,tag_0,tag_1,tag_2,source,group,document_length,label
113,"Further, if the climate changes faster than you expect or if you were too optimistic in your time horizon  determination, then by the time you complete another iteration of your vulnerability assessment, these  unwanted risks may already be upon you.  If you are not sure about mitigation: You are not obligated to start responding, but if you think you  would want to mitigate a risk in the future, then you could benefit from the risk management process  now by assigning it to the mitigation approach. In the systematic risk management process, only those  risks that you identify for mitigation will be carried forward to Step 8a and Step 8b, where you will select  adaptation actions for the risks, and to Step 9, where you will develop your plan. The other riskswhich  you are deciding not to actively mitigate but to transfer/accept/avoidwill be picked up in Step 10 Monitoring and Review after you write your plan. If Step 8a and Step 8b show you that there is not a  viable mitigation strategy for a particular risk, you can return to this step and choose another approach",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1081,Develop Strategies and Actions
114,"Approving the approach After you have investigated and chosen a high-level approach (mitigate/transfer/accept/avoid) for every  one of your risks, your organizations key decision-makers (board of directors, management committee,  staff, and the people who are regularly involved with deciding what you do) should agree before you go  further with your action plan. Your organization is preparing a major strategy document. While this is not  a new strategic plan, it is a statement of how you plan to continue being able to achieve your mission  and goals.  If you selected the avoid approach for any of your risks, you need to carefully think through what this  means. You have chosen to withdraw from whatever goal would be thwarted by the risk. This may be  the whole goal if the goal is narrow (e.g., maintain critical habitat for a particular bird species), or it may  be a part of a goal if the goal is broad (e.g., maintain ecological diversity in your watershed). If you are  deciding to withdraw from pursuing a goal (and thereby in effect rewriting your strategic plan), key  decision-makers should approve this change in course.",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1139,Develop Strategies and Actions
116,"Finding mitigating actions that look promising As you find the points along a risk pathway where opportunities exist to mitigate the risk (Figure 8a-3),  you need to rely on your knowledge about your system to think about what actions might be promising.  You are looking for actions to apply at the relevant spots in the risk path in order to lower the likelihood  or consequence of a risk. Your professional knowledge and training may lead you in certain directions. As you were familiarizing  yourself with options in Step 7, additional ideas may have interested you. If your organization goals are  similar to the Clean Water Act goals, then Table 8a-1 of the Workbook presents the actions from CREs  Synthesis of Adaptation Options for Coastal Areas in a new format that you might find useful. If your  organization has goals specific to the management of water utilities, see resources from EPAs Climate  Ready Water Utilities program. For other sets of organizational goals, the Additional Resources section  at the end of this step points to sources of potential actions.  There are hundreds of potential actions that would alter a risk path and reduce the risks consequence/ probability. Many actions are trivial; some are practically impossible. You want to identify a plausible  range of actions in this step. This is probably not as open-ended a brainstorming exercise as it sounds,  but do not reject things that are novel. You want a range of actions because in Step 8b you may decide  that some are unpalatable for various reasons and should be rejected. Having a plausible range of  actions will help you find opportunities to use actions that might mitigate more than one risk, bring  co-benefits, or open up other opportunities. The best way to solve one particular risk might not be  as advantageous as a second-best way that mitigates other risks too. It is fine (probably desirable) to  identify the same action for more than one risk",STRATEGY IDENTIFICATION,Strategy Selection,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,1955,Develop Strategies and Actions
121,"A planning-level plan In this last planning-level step, you will create the  mechanisms to ensure that you make progress. You want  to create two risk management tracking systems. One  tracks the actions; the other tracks the risks. You will create  two tables that start as inverses of each other. Each table  should be updated regularly. The first table (Table 9-1) tracks the actions and notes  which risks they are associated with as well as who has  responsibility for implementing them. An action may  address more than one risk. The second table (Table 9-2) keeps track of your risks and  notes what actions are being used and when they are  completed. A risk may be affected by more than one  action. You should also track any activities associated with  risks transferred to another organization.",IMPLEMENTATION AND MONITORING,Evaluation and Monitoring,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,805,Monitor and Evaluate Progress
122,"assume all the duties of a project manager, among them  defining the project scope, completing on time, and  staying within resources.  Project managers may establish project teams; do  detailed site reconnaissance; hire experts; evaluate pros  and cons of specific techniques; create construction  documents; get a staffing or financing plan, or a  cooperative agreement, in place; file for permits; hire  a construction contractor; or initiate other related activities. It may be helpful at this point to turn to  standard project management tools as well as to the resources in Appendix C, which are designed for  those who are doing climate change work at finer resolutions.",IMPLEMENTATION AND MONITORING,Implementation,NA,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,678,Implement the Action Plan
139,In-stream measures Removing unneeded  dams and impoundments  Keeps impounded waters from  heating up  Restores natural hydrology  Returns to natural sediment transport and  geomorphology  Reestablishes natural disturbance  Releasing cold water from  upstream impoundments  Strategically lowers water  temperature  Constructs biotic refugia or habitat  Builds biological communities Controlling stream bank  erosion  Keeps channels from getting wider  and shallower and warming more  easily  Returns to natural sediment transport and  geomorphology  Raises water quality Creating deep pools or  artificial logjams  Provides shade or deep water that  limits direct heating from sunlight  Constructs biotic refugia or habitat  Builds biological communities,STRATEGY IDENTIFICATION,Strategy Action (general),Reduce Environmental Impacts,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,753,Develop Strategies and Actions
140,Groundwater measures Controlling groundwater  withdrawal  Maintains groundwater sources that  supply base flow to streams  Creates habitat and hydrologic connectivity  Restores natural hydrology Promoting stormwater  infiltration  Gets water into aquifers and away  from exposure to the sun  Recharges groundwater that  supplies baseflow that regulates  stream temperature  Restores natural hydrology  Returns to natural sediment transport and  geomorphology  Reestablishes natural disturbance  Removing unneeded  channelization  Restores natural groundwater  exchange  Restores connection to floodplains  which promotes floodwater  infiltration into aquifers  Restores natural hydrology  Returns to natural sediment transport and  geomorphology  Reestablishes natural disturbance,STRATEGY IDENTIFICATION,Strategy Action (general),Reduce Environmental Impacts,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,780,Develop Strategies and Actions
141,"Land use measures Planting forest and  floodplain habitat  Shades watershed lands, surface  waters and streambeds  Reduces runoff and promotes  groundwater infiltration  Creates habitat and hydrologic connectivity  Rebuilds native vegetation and corridor  networks  Raises water quality Keeping livestock out of  streams  Reduces bank erosion  Returns to natural sediment transport and  geomorphology  Raises water quality Controlling soil erosion in  the watershed  Keeps sediment from clogging  streambeds and interfering with  groundwater exchange  Keeps heat-trapping particles out of  waterways  Returns to natural sediment transport and  geomorphology  Raises water quality Controlling stormwater  runoff  Reduces high peak flows that  contribute to erosion and channel  changes  Restores natural hydrology  Returns to natural sediment transport and  geomorphology  Reestablishes natural disturbance   Raises water quality",STRATEGY IDENTIFICATION,Strategy Action (general),"Capacity, Management, and Planning",A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,928,Develop Strategies and Actions
142,"Land use measures Planting forest and  floodplain habitat  Shades watershed lands, surface  waters and streambeds  Reduces runoff and promotes  groundwater infiltration  Creates habitat and hydrologic connectivity  Rebuilds native vegetation and corridor  networks  Raises water quality Keeping livestock out of  streams  Reduces bank erosion  Returns to natural sediment transport and  geomorphology  Raises water quality Controlling soil erosion in  the watershed  Keeps sediment from clogging  streambeds and interfering with  groundwater exchange  Keeps heat-trapping particles out of  waterways  Returns to natural sediment transport and  geomorphology  Raises water quality Controlling stormwater  runoff  Reduces high peak flows that  contribute to erosion and channel  changes  Restores natural hydrology  Returns to natural sediment transport and  geomorphology  Reestablishes natural disturbance   Raises water quality",STRATEGY IDENTIFICATION,Strategy Action (general),Reduce Environmental Impacts,A2 - EPA 2014 risk based adaptation planning_workbook,Climate Adaptation,928,Develop Strategies and Actions
143,"To address this gap, the U.S. Environmental Protection Agency worked with the Rhode Island  Division of Planning to develop a framework to help communities assess their economic  vulnerability to climate change and improve their economic resilience. A pilot community, North  Kingstown, Rhode Island, tested and refined the framework. The framework can be adapted by  communities anywhere in the country for their context and can be modified to cover small or  large geographic areas and their economies. Communities existing plans can inform this  framework, since issues such as vulnerability to floods will have been addressed in the local  hazard mitigation plan and perhaps the comprehensive plan. Conversely, the results of this  framework analysis can be folded into updates of other plans, such as incorporating flood  resilience projects into capital improvement plans and encouraging new development in safer  areas in the comprehensive plan",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,951,Set Goals and Objectives
146,"Who should use this framework?  The most likely primary users of this  framework are local government staff,  particularly planning and economic  development staff, because of the breadth of  expertise and information required.  However, many private businesses,  commercial property owners, and business  associations also are thinking about how to  improve their resilience and capitalize on  new opportunities as the climate changes.  Business leaders could use this framework to  engage other community leaders and  encourage the local government to convene a  team to work through the assessment.  Having private-sector representatives on that  team is essential to the success of this  assessment.",GUIDE PURPOSE AND OBJECTIVES,Guide Purpose Statement,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,703,Set Goals and Objectives
147,"How can the framework fit with other  planning efforts?  Local governments already have numerous plans  and planning efforts that guide development and  affect business vitality, including comprehensive,  economic development, capital improvement,  transportation improvement, strategic, sector, and  stormwater plans. The framework can both  inform and be informed by those plans.  Communities can use their existing plans as they  work through the framework, since issues such as  vulnerability to floods will have been addressed  in the local hazard mitigation plan and perhaps  the comprehensive plan. Conversely, the results  of this framework analysis can be folded into  updates of other plans, such as incorporating  flood resilience projects in capital improvement  plans and encouraging new development in safer  areas in the comprehensive plan. The framework  assessment also can be conducted as a stand- alone process to inform ongoing and future  community planning.  Coordinating the framework with the  comprehensive plan can provide a mechanism for  implementing the policies and actions that would  enhance resilience in the local economy. For  example, a community could use its  comprehensive plan (and possibly its capital  improvement plan) to encourage reinforcing  infrastructure important to local businesses if the  framework reveals those assets are vulnerable.",GUIDE PURPOSE AND OBJECTIVES,Guide Outcomes,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,1387,Set Goals and Objectives
153,"II. Using the Framework The planning framework is intended to help communities recognize their economic vulnerabilities  and identify ways to become more climate resilient, with a focus on helping the business community  to prepare for and adapt to projected changes and prosper in a changing climate. The framework  assesses a specified area such as a town, municipality, or larger region. It recognizes the  interdependencies of municipalities and local businesses, and the role of both as critical elements in  economic resilience and growth. It can help identify climate-resilient strategies to incorporate into  other local land use, revitalization, and economic development plans.",GUIDE PURPOSE AND OBJECTIVES,Guide Outcomes,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,686,Set Goals and Objectives
174,"Geographic area  The geographic boundary will determine the business establishments and assets that the team  will consider in the assessment. While municipal boundaries might be the simplest and most  obvious choice, other considerations can help determine the assessments geographic scale. For  instance, the team might want to assess critical infrastructure (e.g., airports, utilities, or industrial  complexes) or natural resources (e.g., water sources, wetlands, or flood plains) that are outside  municipal boundaries. The framework can work at local, regional, and broader scales, but it is  important to determine the scale from the beginning to understand the magnitude of the  undertaking. The scale will influence the goals of the assessment.",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,753,Set Goals and Objectives
181,"The frameworks intent is to help the community understand important implications of climate- related impacts on its economy. The team can clarify its purpose and provide the foundation for  using the assessment by answering questions such as:   How will the assessment help the community and its economy?  What specific questions does the team hope to answer by working through the assessment? Examples could include, Which businesses are most at risk? or In which areas should the community prioritize investments or policy changes?  What level of effort (i.e., funding and time commitment) can the team put forth? Is this level of effort sufficient to answer the questions the team wants answered?  What is the target date for finishing the assessment? Is there any forcing event such as an upcoming election or a deadline for completing a comprehensive plan update? What are realistic milestones to achieve objectives?  How can this assessment be integrated with other community plans, including the comprehensive, hazard mitigation, capital improvement, transportation, and economic development plans?",COMMUNITY GOAL SETTING AND COORDINATION,Community Goals Identification,NA,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,1105,Set Goals and Objectives
218,"1. Convene partners to build capacity and share effective practices.  Convene businesses involved in recovery efforts in past natural disasters to share their experience. Discuss a potential business-to-business mentoring program on resilience.  Encourage networking opportunities for businesses in the community and the region interested in enhancing resilience.  Explore opportunities for local and regional collaboration on resilience with regional governmental entities, chambers of commerce, or regional industry associations.  Work with business and economic development groups poised to take advantage of new resilience- related market opportunities to find out how the local government could help.  Convene local businesses to help identify the towns assets that could become the basis for economic growth, and consider integrating these assets into the economic development plan.",STRATEGY IDENTIFICATION,Strategy Action (general),"Capacity, Management, and Planning",A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,888,Develop Strategies and Actions
219,"Incorporate projected climate impacts into policies and regulations, such as land use, hazard mitigation, and economic development plans and related ordinances such as building and zoning codes.  Update the local comprehensive plan to identify areas that areor are projected to becomemore vulnerable to climate change impacts, and protect those areas.  To implement the updated comprehensive plan, adopt zoning that promotes the safety and longevity of development.  Consider incentives to encourage development in more desirable locations.  Incorporate measures into hazard mitigation and other plans to rebuild in stronger and more resilient ways should a disaster occur.  Use economic development and land use planning to support economic diversification.  Use economic development planning and funding to support resilience innovation in the areas most competitive sectors.  Create (before a disaster) a postdisaster redevelopment plan that includes a section on economic redevelopment.",STRATEGY IDENTIFICATION,Strategy Action (general),Regulatory policy and legislation,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,990,Develop Strategies and Actions
220,"trengthen the resilience of infrastructure on which businesses rely (e.g., stormwater, wastewater, drinking water, utilities, and transportation).  Incorporate backup electricity generation and resilience in the gridfor example, through on-site renewable energy or a micro-grid.  Work with utility providers to improve resilience of critical systems.  Implement green infrastructure techniques, which use soils, vegetation, and natural processes to reduce polluted stormwater, to reduce flooding and protect water quality.  Develop transportation networks with multimodal options that improve everyday transportation but also can operate in emergencies.  Relocate or demolish at-risk municipal facilities that cannot be made resilient, and consider establishing an acquisition or buyout plan for at-risk commercial properties.",STRATEGY IDENTIFICATION,Strategy Action (general),Physical Infrastructure,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,826,Develop Strategies and Actions
223,"1. Improve resilience.  Build human resources capacity to manage climate hazards, including by sharing the assessment results with firm leadership, managers, and employees; training staff in emergency response; and assigning climate hazard management to a specific employee.  Plan for climate change-related vulnerabilities and opportunities by incorporating relevant findings from the assessment into strategic planning, creating or updating a continuity-of-operations plan, identifying where the firm needs to enhance its resilience, incorporating resilience into strategic planning and values statements, and sharing assessment findings with business groups.  Make structural investments such as floodproofing measures and green infrastructure practices, and consider where it makes sense to locate or expand a business.  Make operational investments, such as in water- and energy-efficient equipment and practic",STRATEGY IDENTIFICATION,Strategy Action (general),Physical Infrastructure,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,915,Develop Strategies and Actions
224,"Pursue opportunities to move into climate-related and/or climate-resilient markets.  Conduct formal market research that considers growth projections, and identify areas in which the firm could compete in this market.  Identify regional innovation hubs working on vulnerabilities in your industry, and explore opportunities to partner or pilot technologies or practices.  Build relationships with firms doing complementary work in climate-related markets.  Build relationships with institutions that provide workforce training.  For tourism-related businesses, consider what amenities might make it possible to sustainor changebusiness given anticipated changes in weather patterns.  Explore opportunities to develop onsite renewable energy generation and energy- and water-efficiency technologies, and train workers to install and maintain them.",STRATEGY IDENTIFICATION,Strategy Action (general),Financing and Funding,A3 - planning-framework-climate-resilient-economy-508_2,Climate Adaptation,846,Develop Strategies and Actions
